原句,分词结果,去掉停用词结果,情感得分
电影是好电影，第一次来横店看，体验效果真的太一般了，开场前只有声音没有画面 开场一分钟画面的尺寸不对，后面音效和屏幕的画面有点不同步，而且影院整体声音太大了，音质也不清澈，总归就是电影没看出啥毛病，但电影院到是有很多的毛病,电影/是/好/电影/，/第一次/来/横店/看/，/体验/效果/真的/太/一般/了/，/开场/前/只有/声音/没有/画面/ /开场/一分钟/画面/的/尺寸/不/对/，/后面/音效/和/屏幕/的/画面/有点/不/同步/，/而且/影院/整体/声音/太大/了/，/音质/也/不/清澈/，/总归/就是/电影/没/看出/啥/毛病/，/但/电影院/到/是/有/很多/的/毛病,电影/好/电影/第一次/横店/体验/效果/真的/太/开场/前/声音/画面/ /开场/一分钟/画面/尺寸/后面/音效/屏幕/画面/有点/同步/影院/整体/声音/太大/音质/清澈/总归/电影/看出/毛病/电影院/毛病/,26.651195789008682
超震撼，看的好紧张，最后很感人！,超/震撼/，/看/的/好/紧张/，/最后/很/感人/！,超/震撼/好/紧张/最后/感人/,-0.18211166193318518
二刷安排!!!,二刷/安排/!/!/!,二刷/安排/,-0.0200225832803
很好看啊，极力推荐，看完这个电影后我觉得保护地球环境已经没用了得保护太阳的环境,很/好看/啊/，/极力推荐/，/看/完/这个/电影/后/我/觉得/保护/地球/环境/已经/没用/了/得/保护/太阳/的/环境,好看/极力推荐/完/电影/后/觉得/保护/地球/环境/已经/没用/保护/太阳/环境/,1.049117989405
说实话，这电影特效真的是垃圾。请不要拿真的来糊弄我们！,说实话/，/这/电影/特效/真的/是/垃圾/。/请/不要/拿/真的/来/糊弄/我们/！,说实话/电影/特效/真的/垃圾/请/真的/糊弄/,-1.251478096257
给10分，没得说！,给/10/分/，/没得说/！,10/分/没得说/,-0.11505144151300001
精彩，震撼，中国这样的科幻电影给力? 点燃木星那时刻泪目,精彩/，/震撼/，/中国/这样/的/科幻电影/给力/?/ /点燃/木星/那/时刻/泪目,精彩/震撼/中国/科幻电影/给力/ /点燃/木星/时刻/泪目/,7.504866353196
真的特别好看。特别震撼,真的/特别/好看/。/特别/震撼,真的/特别/好看/特别/震撼/,3.4714626308675
只关心休眠仓的人怎么办呀,只/关心/休眠/仓/的/人/怎么办/呀,只/关心/休眠/仓/人/,0.544130311045
吴京厉害(? ??_??)?,吴京/厉害/(/?/ /?/?/_/?/?/)/?,吴京/厉害/ /,0.5648538964790001
国产科幻的里程碑之作，值得推荐,国产/科幻/的/里程碑/之作/，/值得/推荐,国产/科幻/里程碑/之作/值得/推荐/,6.393146089925
国产科幻电影新高峰,国产/科幻电影/新高峰,国产/科幻电影/新高峰/,0.33265325334
棒棒哒，，，，,棒棒/哒/，/，/，/，,棒棒/哒/,2.30877412776
很棒的一部片子,很棒/的/一部/片子,很棒/一部/片子/,-0.764930816237
很震撼，有笑点，有泪点，春节档第一部电影,很/震撼/，/有/笑/点/，/有泪点/，/春节/档/第一部/电影,震撼/笑/点/有泪点/春节/档/第一部/电影/,4.748508933165
好看 中国电影,好看/ /中国/电影,好看/ /中国/电影/,2.5002908624469997
超赞我跟小伙伴们讲，这钱花的不亏！,超赞/我/跟/小伙伴/们/讲/，/这钱花/的/不亏/！,超赞/小伙伴/讲/这钱花/不亏/,5.417139169165001
这次中国科幻特效让我大吃一惊，非常赞?！但是朵朵的演技有待提升，以及最后稍微有点烂尾，剧情需要再优化,这次/中国/科幻/特效/让/我/大吃一惊/，/非常/赞/?/！/但是/朵朵/的/演技/有待/提升/，/以及/最后/稍微/有点/烂尾/，/剧情/需要/再/优化,这次/中国/科幻/特效/大吃一惊/赞/朵朵/演技/有待/提升/最后/稍微/有点/烂尾/剧情/需要/再/优化/,9.64142278985821
自我感觉一般,自我感觉/一般,自我感觉/,0
音乐?震撼，哈哈,音乐/?/震撼/，/哈哈,音乐/震撼/,3.14419969374
挺好看的，感人,挺/好看/的/，/感人,挺/好看/感人/,0.7326358507749999
还不错。 国产科幻这样子不错了,还/不错/。/ /国产/科幻/这/样子/不错/了,不错/ /国产/科幻/样子/不错/,2.5535371117726
酷第一个中国科幻大作,酷/第一个/中国/科幻/大作,酷/第一个/中国/科幻/大作/,0.007786410283000034
神仙电影喜欢赵金麦妹妹,神仙/电影/喜欢/赵金麦/妹妹,神仙/电影/喜欢/赵金麦/妹妹/,3.967175152907
超好看，要二刷，三刷,超/好看/，/要二刷/，/三刷,超/好看/要二刷/三刷/,1.26216032158
太好了，真棒,太好了/，/真棒,太好了/真棒/,0
目前中国最好的科幻片，毋容置疑！,目前/中国/最好/的/科幻片/，/毋容/置疑/！,目前/中国/最好/科幻片/毋容/置疑/,1.657312729025
电影题材特别好  心灵特别震撼 我们被现在的生活觉得取之不尽 用之不完,电影/题材/特别/好/ / /心灵/特别/震撼/ /我们/被/现在/的/生活/觉得/取之不尽/ /用/之/不/完,电影/题材/特别/好/ / /心灵/特别/震撼/ /现在/生活/觉得/取之不尽/ /完/,6.890503394891814
超级好看！很震撼……,超级/好看/！/很/震撼/…/…,超级/好看/震撼/,3.4146096947199998
好看，不错的电影?,好看/，/不错/的/电影/?,好看/不错/电影/,4.466259776075
国产第一不解释,国产/第一/不/解释,国产/第一/解释/,-0.32948910449299995
非常好，挺好看的！,非常/好/，/挺/好看/的/！,好/挺/好看/,1.26216032158
不错好看哈哈哈哈哈,不错/好看/哈哈哈/哈哈,不错/好看/哈哈哈/,7.0940750927
可能推地球，我受得了,可能/推/地球/，/我/受得了,推/地球/受得了/,-1.2002320592823001
十分精彩，并且很感人！,十分/精彩/，/并且/很/感人/！,十分/精彩/感人/,1.9709139839749998
好看，感人，演技好,好看/，/感人/，/演技/好,好看/感人/演技/好/,1.699477233334
从今以后国产科幻的标杆,从今以后/国产/科幻/的/标杆,国产/科幻/标杆/,1.964713265475
特效不错，剧情有点尴尬,特效/不错/，/剧情/有点/尴尬,特效/不错/剧情/有点/尴尬/,0.5941366658980001
虽然很悲剧，但是特效很感人，后面那一段也很燃,虽然/很/悲剧/，/但是/特效/很/感人/，/后面/那/一段/也/很/燃,悲剧/特效/感人/后面/一段/燃/,-2.8859085116839998
很震撼，特效也很好,很/震撼/，/特效/也/很/好,震撼/特效/好/,3.07325838004
赞 必须大赞,赞/ /必须/大赞,赞/ /大赞/,6.3949100228799995
特效特别棒 情节特别好,特效/特别/棒/ /情节/特别/好,特效/特别/棒/ /情节/特别/好/,3.1239744844471
很棒，除了影院眼镜模糊,很棒/，/除了/影院/眼镜/模糊,很棒/影院/眼镜/模糊/,0.253081479537
国产大片也能赶超好莱坞了,国产/大片/也/能/赶超/好莱坞/了,国产/大片/赶超/好莱坞/,3.09333696857
在面对共同的灾难面前，大家都齐心协力，一心想把生的希望留给他人，才最终战胜了地球危机，为进一步的计划争取了机会！！！,在/面对/共同/的/灾难/面前/，/大家/都/齐心协力/，/一/心想/把/生/的/希望/留给/他人/，/才/最终/战胜/了/地球/危机/，/为/进一步/的/计划/争取/了/机会/！/！/！,面对/共同/灾难/面前/齐心协力/心想/生/希望/留给/最终/战胜/地球/危机/进一步/计划/争取/机会/,13.1287480583065
电影很好看，应该是中国拍的最好看的一部科幻片了，也比较震撼，吴京这几年拍的几部电影我都有看，每一部我都很喜欢看，明年会继续关注吴京的电影,电影/很/好看/，/应该/是/中国/拍/的/最/好看/的/一部/科幻片/了/，/也/比较/震撼/，/吴京/这/几年/拍/的/几部/电影/我/都/有/看/，/每/一部/我/都/很/喜欢/看/，/明年/会/继续/关注/吴京/的/电影,电影/好看/应该/中国/拍/最/好看/一部/科幻片/比较/震撼/吴京/几年/拍/几部/电影/一部/喜欢/明年/继续/关注/吴京/电影/,11.009549153364999
特效八分，整个故事描述起来，看着有点乱,特效/八分/，/整个/故事/描述/起来/，/看着/有点/乱,特效/八分/整个/故事/描述/看着/有点/乱/,-0.07429281519699993
太他么好看了我去！,太/他/么/好看/了/我/去/！,太/好看/,1.26216032158
结束一直坐在那等到主题曲放完才起来 中间几次热血沸腾 热泪盈眶 今年 乃至近些年最好的国产电影 没有之一 战狼2虽然票房高 跟这个都没得比 发自内心,结束/一直/坐在/那/等到/主题曲/放/完才/起来/ /中间/几次/热血沸腾/ /热泪盈眶/ /今年/ /乃至/近些年/最好/的/国产电影/ /没有/之一/ /战狼/2/虽然/票房/高/ /跟/这个/都/没得/比/ /发自内心,结束/一直/坐在/主题曲/放/完才/ /中间/几次/热血沸腾/ /热泪盈眶/ /今年/ /近些年/最好/国产电影/ / /战狼/票房/高/ /没得/ /发自内心/,1.5158738925863
不愧为中国科幻电影的里程碑！第一个将目光投向天空的中国人叫“杞人”，结果他被人嘲笑了几千年。今天刘慈欣将目光投向了宇宙，把中国文明看做人类文明的一部分，既不自大，也不自卑，多么可敬的态度！好的IP，成就好的电影。,不愧为/中国/科幻电影/的/里程碑/！/第一个/将/目光/投向/天空/的/中国/人/叫/“/杞人/”/，/结果/他/被/人/嘲笑/了/几千年/。/今天/刘慈欣/将/目光/投向/了/宇宙/，/把/中国/文明/看做/人类文明/的/一部分/，/既/不/自大/，/也/不/自卑/，/多么/可敬/的/态度/！/好/的/IP/，/成就/好/的/电影/。,不愧为/中国/科幻电影/里程碑/第一个/目光/投向/天空/中国/人/杞人/人/嘲笑/几千年/今天/刘慈欣/目光/投向/宇宙/中国/文明/看做/人类文明/一部分/自大/自卑/多么/可敬/态度/好/IP/成就/好/电影/,11.59180967437365
很不错，超好看。,很/不错/，/超/好看/。,不错/超/好看/,1.3891906484800003
国产科幻经典之作啊，非常好！！还要二刷！,国产/科幻/经典之作/啊/，/非常/好/！/！/还要/二刷/！,国产/科幻/经典之作/好/还要/二刷/,2.632642004365
这分是给吴京的，特效呵呵，剧情呵呵,这分/是/给/吴京/的/，/特效/呵呵/，/剧情/呵呵,这分/吴京/特效/呵呵/剧情/呵呵/,2.529072727138
剧情很严谨，非常精彩,剧情/很/严谨/，/非常/精彩,剧情/严谨/精彩/,3.046279761454
为中国电影的进步点赞??,为/中国/电影/的/进步/点赞/?/?,中国/电影/进步/点赞/,3.338508794277
简直太好看了，虽然没有国外科幻片那种强烈的震撼效果，但是已经很不错了，而且很感动，有泪点，带了家人看，看哭了，吴京演的片子从来没有失望过?,简直/太/好看/了/，/虽然/没有/国外/科幻片/那种/强烈/的/震撼/效果/，/但是/已经/很/不错/了/，/而且/很/感动/，/有泪点/，/带/了/家人/看/，/看/哭/了/，/吴京演/的/片子/从来/没有/失望/过/?,太/好看/国外/科幻片/那种/强烈/震撼/效果/已经/不错/感动/有泪点/家人/哭/吴京演/片子/失望/,6.401178204573998
漂亮，帅。看了评分才来的，果然不负所望。国际京！,漂亮/，/帅/。/看/了/评分/才/来/的/，/果然/不负/所望/。/国际/京/！,漂亮/帅/评分/不负/所望/国际/京/,7.452522226469
给力！！！！！,给力/！/！/！/！/！,给力/,0
特效绝对不错，国产电影做成这样，很不容易，情节叙事比较情感，情绪煽动的比较多。赞一个,特效/绝对/不错/，/国产电影/做成/这样/，/很/不/容易/，/情节/叙事/比较/情感/，/情绪/煽动/的/比较/多/。/赞/一个,特效/不错/国产电影/做成/容易/情节/叙事/比较/情感/情绪/煽动/比较/赞/一个/,7.7459065056731005
视觉效果很好,视觉效果/很/好,视觉效果/好/,0
不好看 提前离场,不/好看/ /提前/离场,好看/ /提前/离场/,2.4742163051299997
真的太棒了，无论是演员还是特效，最后的那段bgm真的是让我震撼到了，必须给10分！！！小破球冲呀！！,真的/太棒了/，/无论是/演员/还是/特效/，/最后/的/那段/bgm/真的/是/让/我/震撼/到/了/，/必须/给/10/分/！/！/！/小破球/冲/呀/！/！,真的/太棒了/无论是/演员/特效/最后/那段/bgm/真的/震撼/10/分/小破球/,2.206645035185181
吹爆他，太好看了,吹/爆/他/，/太/好看/了,吹/爆/太/好看/,1.9666775248358
这部电影完全配得上“中国科幻电影元年”这一称呼，电影特效非常理想，电影剧情很完整，两条主线互相切换很顺畅，剧情设定上没有什么硬伤，虽然几个年轻演员的表现尚有不足，但是这部电影的其他优点完全可以弥补，非常值得一看！,这部/电影/完全/配得/上/“/中国/科幻电影/元年/”/这一/称呼/，/电影/特效/非常/理想/，/电影/剧情/很/完整/，/两条/主线/互相/切换/很/顺畅/，/剧情/设定/上/没有/什么/硬伤/，/虽然/几个/年轻/演员/的/表现/尚有/不足/，/但是/这部/电影/的/其他/优点/完全/可以/弥补/，/非常/值得一看/！,这部/电影/完全/配得/中国/科幻电影/元年/这一/称呼/电影/特效/理想/电影/剧情/完整/两条/主线/切换/顺畅/剧情/设定/硬伤/几个/年轻/演员/表现/尚有/不足/这部/电影/优点/完全/弥补/值得一看/,9.589998186707799
很棒啊！挺喜欢这部电影,很棒/啊/！/挺/喜欢/这部/电影,很棒/挺/喜欢/这部/电影/,3.588340316503
国产电影新高度！！,国产电影/新/高度/！/！,国产电影/新/高度/,1.859319210479
还行吧。。。。。,还行/吧/。/。/。/。/。,还行/,0
为中国崛起的科技电影打call,为/中国崛起/的/科技/电影/打/call,中国崛起/科技/电影/call/,1.456162245123
实在是太难看了，给人感觉中国以后毁灭似的，反感,实在/是/太/难看/了/，/给/人/感觉/中国/以后/毁灭/似的/，/反感,实在/太/难看/人/感觉/中国/以后/毁灭/反感/,-5.726308862501
感觉不错。很好的科幻,感觉/不错/。/很/好/的/科幻,感觉/不错/好/科幻/,1.2105155341227505
看到吴京出演于是初一第一首选了这部电影，场面宏大，国产首部科幻片，很震撼。看完电影又看了几篇科普知识，越发喜欢这部电影，于是追加来评分，希望更多的观众朋友来关注支持我们国家的科幻片。,看到/吴京/出演/于是/初一/第一/首选/了/这部/电影/，/场面/宏大/，/国产/首部/科幻片/，/很/震撼/。/看/完/电影/又/看/了/几篇/科普知识/，/越发/喜欢/这部/电影/，/于是/追加/来/评分/，/希望/更/多/的/观众/朋友/来/关注/支持/我们/国家/的/科幻片/。,看到/吴京/出演/初一/第一/首选/这部/电影/场面/宏大/国产/首部/科幻片/震撼/完/电影/几篇/科普知识/越发/喜欢/这部/电影/追加/评分/希望/观众/朋友/关注/支持/国家/科幻片/,34.641661234267396
拍的比美国大片还厉害，国产电影越来越好看，吴京再创佳绩,拍/的/比/美国/大片/还/厉害/，/国产电影/越来越/好看/，/吴京/再创/佳绩,拍/美国/大片/厉害/国产电影/越来越/好看/吴京/再创/佳绩/,11.318226020425001
相对几部喜剧片，国产的首部大型科幻片题材还是比较新意。3D效果也不错，但剧情还有待提高，人物形象塑造以及年轻演员的演技也还有待提高。,相对/几部/喜剧片/，/国产/的/首部/大型/科幻片/题材/还是/比较/新意/。/3D/效果/也/不错/，/但/剧情/还有/待/提高/，/人物形象/塑造/以及/年轻/演员/的/演技/也/还有/待/提高/。,相对/几部/喜剧片/国产/首部/大型/科幻片/题材/比较/新意/3D/效果/不错/剧情/提高/人物形象/塑造/年轻/演员/演技/提高/,15.860069380911002
除了前半个小时左右的内容略有浮夸整体来看还是非常不错的。包括演员表现，后期制作和剧情走向都很惊艳。后半部分观众都感动落泪，可能是我泪点比较高吧，只是有点酸但是流不出眼泪。旁边的兄弟哭成泪人辽，而且这个的泪点不是很集中，表达的也很棒真的值得一看,除了/前/半个/小时/左右/的/内容/略有/浮夸/整体/来看/还是/非常/不错/的/。/包括/演员/表现/，/后期制作/和/剧情/走向/都/很/惊艳/。/后/半/部分/观众/都/感动/落泪/，/可能/是/我/泪点/比较/高/吧/，/只是/有点/酸/但是/流不出/眼泪/。/旁边/的/兄弟/哭/成/泪人/辽/，/而且/这个/的/泪点/不是/很/集中/，/表达/的/也/很棒/真的/值得一看,前/半个/小时/左右/内容/略有/浮夸/整体/不错/包括/演员/表现/后期制作/剧情/走向/惊艳/后/部分/观众/感动/落泪/泪点/比较/高/有点/酸/流不出/眼泪/旁边/兄弟/哭/成/泪人/辽/泪点/集中/表达/很棒/真的/值得一看/,3.273585429404141
难得国产电影可以达到这样的水平。点赞,难得/国产电影/可以/达到/这样/的/水平/。/点赞,国产电影/达到/水平/点赞/,1.3565775236139999
感觉春节档最佳,感觉/春节/档/最佳,感觉/春节/档/最佳/,1.939526774154
还能说什么   吹爆,还/能/说/什么/ / / /吹/爆,说/ / / /吹/爆/,-0.676268693973
两个字牛逼，,两个/字/牛/逼/，,两个/字/牛/逼/,-1.037932555417
影片拍的很不错，科幻感十足，故事情节也不错，我这个看电影从来没哭过的人都被感动的掉了眼泪！很棒，加油！,影片/拍/的/很/不错/，/科幻/感/十足/，/故事情节/也/不错/，/我/这个/看/电影/从来/没哭/过/的/人/都/被/感动/的/掉/了/眼泪/！/很棒/，/加油/！,影片/拍/不错/科幻/感/十足/故事情节/不错/电影/没哭/人/感动/掉/眼泪/很棒/加油/,12.485621908382
中国科幻大片,中国/科幻/大片,中国/科幻/大片/,1.283107462037
观后感就是：国产科幻剧中目前为止拍得最棒的一部，期待下一部力作出现超越这部剧！,观后感/就是/：/国产/科幻/剧中/目前为止/拍得/最棒/的/一部/，/期待/下/一部/力作/出现/超越/这部/剧/！,观后感/国产/科幻/剧中/目前为止/拍得/最棒/一部/期待/下/一部/力作/出现/超越/这部/剧/,3.4786232466410003
不说别的，特效真的很棒!越往后看越好看!,不说/别的/，/特效/真的/很棒/!/越往后/看越/好看/!,不说/特效/真的/很棒/越往后/看越/好看/,0.6766883593509998
中国科幻之最,中国/科幻/之/最,中国/科幻/最/,0.302307718717
春节档的冠军，震撼、感人。,春节/档/的/冠军/，/震撼/、/感人/。,春节/档/冠军/震撼/感人/,3.910336253885
国产灾难片来说的话 10分我给8分 其余没有见过超过6分的...怎么形容呢 2个小时我觉得是满好看的了,国产/灾难片/来说/的话/ /10/分/我/给/8/分/ /其余/没有/见过/超过/6/分/的/.../怎么/形容/呢/ /2/个/小时/我/觉得/是/满/好看/的/了,国产/灾难片/来说/ /10/分/分/ /见过/超过/分/形容/ /小时/觉得/好看/,0.8735895562040001
中国科幻电影元年！,中国/科幻电影/元年/！,中国/科幻电影/元年/,2.361537621932
好，中国科幻大片的开山之作，吴京真牛逼,好/，/中国/科幻/大片/的/开山/之作/，/吴京/真牛/逼,好/中国/科幻/大片/开山/之作/吴京/真牛/逼/,1.2345772296050002
中国科幻，叹为观止，人类的希望，从不止于各人,中国/科幻/，/叹为观止/，/人类/的/希望/，/从/不止/于/各人,中国/科幻/叹为观止/人类/希望/各人/,2.356335353044
非常优秀，感觉中国科技元年来了！,非常/优秀/，/感觉/中国/科技/元年/来/了/！,优秀/感觉/中国/科技/元年/,4.491466227886
本来是奔吴京先生去的，开场“特别出演”就心凉了！暗中吐槽导演作弊…… 结果 还真好看 让人目不转睛有感动有笑点的电影?  不剧透 没旅游的都去看??,本来/是/奔/吴京/先生/去/的/，/开场/“/特别/出演/”/就/心凉/了/！/暗中/吐槽/导演/作弊/…/…/ /结果/ /还真好/看/ /让/人/目不转睛/有/感动/有/笑/点/的/电影/?/ / /不剧/透/ /没/旅游/的/都/去/看/?/?,本来/奔/吴京/先生/开场/特别/出演/心凉/吐槽/导演/作弊/ / /还真好/ /人/目不转睛/感动/笑/点/电影/ / /不剧/透/ /旅游/,9.868106903068725
还不错。但是有没有绝对好看 稍微有点赶和粗糙 煽情有一点太硬。还不错但是,还/不错/。/但是/有没有/绝对/好看/ /稍微/有点/赶/和/粗糙/ /煽情/有/一点/太硬/。/还/不错/但是,不错/有没有/好看/ /稍微/有点/粗糙/ /煽情/一点/太硬/不错/,1.569257989559
特效真的特别赞,特效/真的/特别/赞,特效/真的/特别/赞/,4.6116210399775
完美，国产乐观开山之作！,完美/，/国产/乐观/开山/之作/！,完美/国产/乐观/开山/之作/,5.418942426908
中国硬科幻，良心！,中国/硬/科幻/，/良心/！,中国/硬/科幻/良心/,-1.9352608994499998
挺好的，就是年轻演员演技差点,挺/好/的/，/就是/年轻/演员/演技/差点,挺/好/年轻/演员/演技/差点/,1.9521224887089998
挺好的！国产科幻很走心了！（我爸看完嘀咕:现在的年轻人这么敢想，都想到几千年后了…哈哈哈哈哈哈哈哈）,挺/好/的/！/国产/科幻/很/走心/了/！/（/我爸/看/完/嘀咕/:/现在/的/年轻人/这么/敢/想/，/都/想到/几千年/后/了/…/哈哈哈哈/哈哈哈哈/）,挺/好/国产/科幻/走心/我爸/完/嘀咕/现在/年轻人/想/想到/几千年/后/哈哈哈哈/哈哈哈哈/,-2.518342112944
没有更好，只有最好，吴京的电影就是保障，但我没想到的是这部流浪地球这么的贴近现实，也许我们将来要面临的不是太阳膨胀，也许是其他什么的，但我们将要面对的生活也许就是地下城之类的，没有用到什么超能力，都是科技可以实现或者即将实现的力量，给人一种这也许也是我们的一种未来的可能性,没有/更好/，/只有/最好/，/吴京/的/电影/就是/保障/，/但/我/没想到/的/是/这部/流浪/地球/这么/的/贴近/现实/，/也许/我们/将来/要/面临/的/不是/太阳/膨胀/，/也许/是/其他/什么/的/，/但/我们/将要/面对/的/生活/也许/就是/地下城/之类/的/，/没有/用到/什么/超能力/，/都/是/科技/可以/实现/或者/即将/实现/的/力量/，/给/人/一种/这/也许/也/是/我们/的/一种/未来/的/可能性,更好/最好/吴京/电影/保障/没想到/这部/流浪/地球/贴近/现实/也许/将来/面临/太阳/膨胀/也许/面对/生活/也许/地下城/用到/超能力/科技/实现/实现/力量/人/一种/也许/一种/未来/可能性/,11.3843297731262
超级超级好看！！这次的片子打破了中国科幻薄弱的观点，奈斯！,超级/超级/好看/！/！/这次/的/片子/打破/了/中国/科幻/薄弱/的/观点/，/奈斯/！,超级/超级/好看/这次/片子/打破/中国/科幻/薄弱/观点/奈斯/,3.1624333825183495
不用多说了好看中国崛起,不用/多/说/了/好看/中国崛起,不用/说/好看/中国崛起/,0.8349986269229999
2012年有一部电影叫做《2012》，在电影的片尾，洪水退去，方舟停留在了珠峰之巅，美国人??用这样一种方式告诉世人，拯救地球?最后要靠中国人??。2019年中国人用一部电影告诉世界，我们是这样拯救地球的，这就是中国梦，和平崛起的伟大力量。俄罗斯??是好哥们儿，日本??韩国??是小弟，英国??“雇佣兵”，法国??“神父”，德国??就听到一句“再见”，美国??别吵吵，好好看着！把这部科幻电影当作一部政治大戏看也挺过瘾，估计作者刘慈欣（大刘）也没想到。我仿佛看到了（星球大战）（第五元素）的一点影子，然而本质上完全不同，整整高出一个维度。,2012/年/有/一部/电影/叫做/《/2012/》/，/在/电影/的/片尾/，/洪水/退去/，/方舟/停留/在/了/珠峰/之巅/，/美国/人/?/?/用/这样/一种/方式/告诉/世人/，/拯救/地球/?/最后/要/靠/中国/人/?/?/。/2019/年/中国/人用/一部/电影/告诉/世界/，/我们/是/这样/拯救/地球/的/，/这/就是/中国/梦/，/和平/崛起/的/伟大/力量/。/俄罗斯/?/?/是/好/哥们儿/，/日本/?/?/韩国/?/?/是/小弟/，/英国/?/?/“/雇佣兵/”/，/法国/?/?/“/神父/”/，/德国/?/?/就/听到/一句/“/再见/”/，/美国/?/?/别/吵吵/，/好好/看着/！/把/这部/科幻电影/当作/一部/政治/大戏/看/也/挺/过瘾/，/估计/作者/刘慈欣/（/大/刘/）/也/没想到/。/我/仿佛/看到/了/（/星球大战/）/（/第五/元素/）/的/一点/影子/，/然而/本质/上/完全/不同/，/整整/高出/一个/维度/。,2012/年/一部/电影/叫做/2012/电影/片尾/洪水/退去/方舟/停留/珠峰/之巅/美国/人/一种/方式/告诉/世人/拯救/地球/最后/中国/人/2019/年/中国/人用/一部/电影/告诉/世界/拯救/地球/中国/梦/和平/崛起/伟大/力量/俄罗斯/好/哥们儿/日本/韩国/小弟/英国/雇佣兵/法国/神父/德国/听到/一句/再见/美国/吵吵/好好/看着/这部/科幻电影/当作/一部/政治/大戏/挺/过瘾/估计/作者/刘慈欣/刘/没想到/仿佛/看到/星球大战/第五/元素/一点/影子/本质/完全/整整/高出/一个/维度/,112.1195092899183
赞 超震撼 不错不错,赞/ /超/震撼/ /不错/不错,赞/ /超/震撼/ /不错/不错/,0.7492178472800002
称得上是目前中国最高级的特效了，有大情怀，大无畏的牺牲精神，看哭了好几次,称得上/是/目前/中国/最高级/的/特效/了/，/有大/情怀/，/大无畏/的/牺牲/精神/，/看/哭/了/好/几次,称得上/目前/中国/最高级/特效/有大/情怀/大无畏/牺牲/精神/哭/好/几次/,1.026367500552
期待了很久，，,期待/了/很/久/，/，,期待/久/,1.872037029735
科幻之最啊，感觉有种好莱坞的既视感，中国情怀加之高科技特效，感觉非常棒，值得一看,科幻/之/最/啊/，/感觉/有种/好莱坞/的/既/视感/，/中国/情怀/加之/高科技/特效/，/感觉/非常/棒/，/值得一看,科幻/最/感觉/有种/好莱坞/视感/中国/情怀/高科技/特效/感觉/棒/值得一看/,11.090616762997
给满了怕骄傲,给/满/了/怕/骄傲,骄傲/,2.26736094733
《流浪地球》真是超出预期，光特效制作就值得骄傲骄傲。几处为了缓解紧张的逗趣情节，比如突如其来的昨晚睡了姑娘，可能是为了出口给老外写的吧。,《/流浪/地球/》/真是/超出/预期/，/光/特效/制作/就/值得/骄傲/骄傲/。/几处/为了/缓解/紧张/的/逗趣/情节/，/比如/突如其来/的/昨晚/睡/了/姑娘/，/可能/是/为了/出口/给/老外/写/的/吧/。,流浪/地球/真是/超出/预期/特效/制作/值得/骄傲/骄傲/几处/缓解/紧张/逗趣/情节/突如其来/昨晚/睡/姑娘/出口/老外/写/,7.2920621947563005
超级震撼科幻，部分情节戳中泪点，整体感觉在看好莱坞大片，赞赞赞,超级/震撼/科幻/，/部分/情节/戳/中泪点/，/整体/感觉/在/看/好莱坞/大片/，/赞赞赞,超级/震撼/科幻/部分/情节/戳/中泪点/整体/感觉/好莱坞/大片/赞赞赞/,6.351069570569701
场面壮大，值得一看,场面/壮大/，/值得一看,场面/壮大/值得一看/,2.386230102443
